TIME,X,Y,Z
39509,0.00,-0.01,-0.01
39538,0.00,-0.02,-0.01
39564,0.00,-0.01,-0.01
39591,0.00,-0.01,-0.01
39617,0.00,-0.01,-0.01
39643,0.00,-0.01,-0.01
39670,0.00,-0.01,-0.01
39698,0.00,-0.01,-0.01
39725,0.00,-0.01,-0.01
39752,0.00,-0.01,-0.01
39779,0.00,-0.01,-0.01
39805,0.00,-0.01,-0.01
39831,0.00,-0.01,-0.01
39858,0.00,-0.01,-0.01
39890,0.00,-0.01,-0.01
39918,0.00,-0.01,-0.01
39945,0.00,-0.01,-0.01
39971,0.00,-0.01,-0.01
39997,0.00,-0.01,-0.01
40024,0.00,-0.01,-0.01
40052,0.00,-0.02,-0.01
40078,0.00,-0.01,-0.01
40105,0.00,-0.02,-0.01
40131,0.00,-0.01,-0.01
40158,0.00,-0.01,-0.01
40184,0.00,-0.01,0.00
40211,0.00,-0.02,-0.01
40239,0.00,-0.01,-0.01
40265,0.00,-0.01,0.00
40292,0.01,-0.01,0.00
40318,0.00,-0.02,0.00
40345,0.00,-0.02,-0.01
40371,0.00,-0.01,-0.02
40400,0.00,-0.01,-0.02
40426,0.00,-0.01,-0.02
40453,0.00,-0.01,0.00
40479,0.00,-0.02,0.00
40505,0.00,-0.02,-0.01
40532,0.00,-0.02,-0.02
40561,0.00,-0.02,-0.01
40587,0.01,-0.01,-0.01
40614,0.00,-0.01,-0.01
40640,0.00,-0.02,0.00
40669,0.00,-0.02,-0.01
40695,0.00,-0.01,-0.01
40722,0.00,-0.01,-0.01
40751,0.00,-0.02,-0.01
40778,0.00,-0.02,0.00
40804,0.00,-0.02,-0.01
40831,0.00,-0.02,-0.02
40857,-0.01,-0.01,-0.02
40883,0.00,-0.01,-0.02
40912,0.00,-0.02,-0.01
40939,0.00,-0.01,-0.01
40965,0.00,-0.01,-0.01
40992,0.01,-0.01,0.00
41019,0.00,-0.01,-0.01
41045,0.00,0.00,-0.02
41071,0.00,-0.01,-0.01
41100,0.00,-0.01,-0.02
41126,0.00,-0.03,0.01
41153,-0.01,-0.02,-0.01
41180,0.00,-0.02,-0.01
41206,0.00,-0.02,-0.01
41233,0.00,-0.01,-0.01
41261,0.00,-0.02,-0.02
41287,0.00,-0.01,-0.01
41314,0.00,-0.01,-0.01
41340,0.00,-0.02,-0.01
41366,-0.01,-0.01,-0.02
41393,-0.01,-0.01,-0.02
41419,-0.01,-0.01,-0.01
41452,-0.03,-0.01,-0.02
41480,-0.06,-0.01,-0.02
41506,-0.09,-0.01,-0.03
41532,-0.13,0.00,-0.05
41558,-0.18,-0.01,-0.06
41584,-0.23,-0.01,-0.06
41613,-0.35,-0.02,-0.06
41639,-0.39,-0.02,-0.08
41665,-0.53,-0.02,-0.11
41691,-0.64,-0.01,-0.13
41717,-0.76,0.00,-0.15
41743,-0.85,0.00,-0.17
41772,-0.89,0.00,-0.17
41798,-0.92,0.06,-0.15
41824,-0.92,0.03,-0.18
41850,-0.94,0.00,-0.18
41876,-0.94,-0.01,-0.16
41902,-0.95,0.01,-0.14
41928,-0.94,0.01,-0.10
41957,-0.97,0.00,-0.06
41984,-0.94,0.02,-0.04
42010,-0.82,0.07,-0.08
42036,-0.70,0.05,-0.17
42062,-0.67,0.05,-0.11
42088,-0.75,0.10,0.02
42117,-0.78,0.08,0.03
42143,-0.76,-0.01,-0.04
42170,-0.70,-0.04,-0.11
42196,-0.59,-0.01,-0.10
42225,-0.55,0.00,-0.04
42251,-0.57,-0.03,-0.02
42277,-0.65,-0.03,0.01
42306,-0.63,-0.03,0.00
42332,-0.51,-0.04,-0.04
42359,-0.44,-0.07,-0.08
42385,-0.40,-0.08,-0.08
42412,-0.43,-0.07,-0.05
42438,-0.50,-0.07,0.00
42467,-0.51,-0.07,0.07
42493,-0.45,-0.08,0.06
42519,-0.41,-0.07,0.02
42546,-0.39,-0.04,0.04
42572,-0.31,0.00,0.01
42599,-0.26,-0.01,-0.04
42628,-0.28,-0.04,-0.04
42654,-0.30,-0.05,-0.03
42680,-0.30,-0.04,-0.06
42706,-0.31,-0.03,-0.03
42732,-0.29,-0.03,-0.03
42758,-0.25,-0.03,-0.06
42784,-0.20,-0.02,-0.08
42813,-0.14,-0.03,-0.08
42840,-0.08,-0.03,-0.02
42866,0.03,0.00,0.00
42893,0.12,0.02,-0.01
42919,0.17,0.01,0.03
42945,0.25,0.03,0.05
42974,0.37,0.05,0.05
43004,0.57,0.07,0.00
43030,0.71,0.08,-0.05
43056,0.70,0.09,-0.02
43082,0.48,0.08,0.06
43108,0.24,0.03,0.11
43135,0.17,-0.02,0.10
43163,0.24,-0.03,0.07
43190,0.37,-0.02,-0.03
43216,0.45,-0.02,-0.09
43243,0.48,0.00,-0.09
43269,0.47,-0.02,-0.05
43295,0.51,-0.03,-0.04
43321,0.60,-0.07,-0.06
43350,0.71,-0.04,-0.04
43376,0.80,0.02,0.04
43403,0.92,0.06,0.05
43428,1.05,0.06,0.02
43454,1.10,0.04,0.06
43481,1.23,0.07,0.11
43509,1.32,0.07,0.09
43536,1.30,0.03,0.12
43562,1.25,0.00,0.18
43588,1.18,-0.03,0.17
43614,1.07,-0.05,0.12
43639,1.01,-0.06,0.10
43665,0.90,-0.04,0.13
43694,0.81,-0.03,0.15
43720,0.83,0.00,0.14
43746,0.88,0.02,0.15
43775,0.86,0.00,0.14
43801,0.84,-0.07,0.17
43827,0.73,-0.04,0.14
43853,0.73,-0.01,0.12
43882,0.75,0.03,0.12
43908,0.62,0.00,0.15
43934,0.11,-0.05,0.02
43960,0.04,-0.02,0.00
43987,0.02,-0.01,0.00
44014,0.00,0.00,-0.03
44040,0.00,0.00,-0.03
44069,0.00,-0.02,-0.01
44096,0.00,-0.02,0.00
44122,0.03,-0.01,0.00
44148,0.02,-0.01,-0.01
44175,0.01,-0.01,-0.01
44201,0.00,-0.02,0.00
44230,0.00,-0.02,0.00
44257,0.01,-0.01,-0.02
